algo,dist_m_mean,dist_m_var,expanded_mean,expanded_var,graph,n_runs,path_len_nodes_mean,path_len_nodes_var,relaxed_mean,relaxed_var,time_s_mean,time_s_var,visited_mean,visited_var
astar,2868.223387820609,1828767.50894547,141.5,11263.06779661017,new_brunswick_new_jersey_usa_drive.graphml,60,26.8,130.73898305084745,204.55,19925.33644067797,0.0020157399975384276,2.8864795126832062e-06,171.55,13042.92966101695
dijkstra,2868.223387820609,1828767.50894547,443.75,44921.17372881356,new_brunswick_new_jersey_usa_drive.graphml,60,26.8,130.73898305084745,562.9,63152.83728813559,0.004717135002526144,7.049036638842672e-06,469.2,41726.60338983051
astar,5440.851316364047,4284339.379567589,308.35,52770.02796610169,piscataway_new_jersey_usa_drive.graphml,60,39.25,159.85169491525423,403.2,79695.31525423728,0.0037043816681640845,9.166088252595268e-06,354.25,59619.95338983051
dijkstra,5440.851316364047,4284339.379567589,981.45,306451.57372881356,piscataway_new_jersey_usa_drive.graphml,60,39.25,159.85169491525423,1136.9,392367.24406779656,0.009473173333875214,3.270640928851305e-05,1015.3,307858.17966101697
