algo,dist_m,expanded,graph,pair_id,path_len_nodes,reachable,relaxed,run_id,time_s,visited
dijkstra,2539.800651451155,373,new_brunswick_new_jersey_usa_drive.graphml,7,19,True,470,2,0.003832499962300062,404
astar,2539.800651451155,67,new_brunswick_new_jersey_usa_drive.graphml,7,19,True,107,2,0.0008638999424874783,94
dijkstra,3783.2609616928935,470,new_brunswick_new_jersey_usa_drive.graphml,8,22,True,580,0,0.0041334000416100025,495
astar,3783.2609616928935,98,new_brunswick_new_jersey_usa_drive.graphml,8,22,True,143,0,0.0011075999354943633,128
dijkstra,3783.2609616928935,470,new_brunswick_new_jersey_usa_drive.graphml,8,22,True,580,1,0.003854400012642145,495
astar,3783.2609616928935,98,new_brunswick_new_jersey_usa_drive.graphml,8,22,True,143,1,0.0010226999875158072,128
dijkstra,3783.2609616928935,470,new_brunswick_new_jersey_usa_drive.graphml,8,22,True,580,2,0.004953900002874434,495
astar,3783.2609616928935,98,new_brunswick_new_jersey_usa_drive.graphml,8,22,True,143,2,0.001217000070028007,128
dijkstra,3917.579792537433,680,new_brunswick_new_jersey_usa_drive.graphml,9,33,True,828,0,0.007084300043061376,693
astar,3917.579792537433,206,new_brunswick_new_jersey_usa_drive.graphml,9,33,True,280,0,0.0038328999653458595,240
dijkstra,3917.579792537433,680,new_brunswick_new_jersey_usa_drive.graphml,9,33,True,828,1,0.006171799963340163,693
astar,3917.579792537433,206,new_brunswick_new_jersey_usa_drive.graphml,9,33,True,280,1,0.003076799912378192,240
dijkstra,3917.579792537433,680,new_brunswick_new_jersey_usa_drive.graphml,9,33,True,828,2,0.008682599989697337,693
astar,3917.579792537433,206,new_brunswick_new_jersey_usa_drive.graphml,9,33,True,280,2,0.002679599914699793,240
dijkstra,1478.0345545235152,387,new_brunswick_new_jersey_usa_drive.graphml,10,15,True,531,0,0.003852900001220405,434
astar,1478.0345545235152,38,new_brunswick_new_jersey_usa_drive.graphml,10,15,True,78,0,0.0005433999467641115,67
dijkstra,1478.0345545235152,387,new_brunswick_new_jersey_usa_drive.graphml,10,15,True,531,1,0.0042443000711500645,434
astar,1478.0345545235152,38,new_brunswick_new_jersey_usa_drive.graphml,10,15,True,78,1,0.0005718000466004014,67
dijkstra,1478.0345545235152,387,new_brunswick_new_jersey_usa_drive.graphml,10,15,True,531,2,0.0038138999370858073,434
astar,1478.0345545235152,38,new_brunswick_new_jersey_usa_drive.graphml,10,15,True,78,2,0.0005317999748513103,67
dijkstra,2358.9949174421663,539,new_brunswick_new_jersey_usa_drive.graphml,11,28,True,730,0,0.00508200004696846,562
astar,2358.9949174421663,99,new_brunswick_new_jersey_usa_drive.graphml,11,28,True,155,0,0.001227600034326315,129
dijkstra,2358.9949174421663,539,new_brunswick_new_jersey_usa_drive.graphml,11,28,True,730,1,0.0071443000342696905,562
astar,2358.9949174421663,99,new_brunswick_new_jersey_usa_drive.graphml,11,28,True,155,1,0.0012830999912694097,129
dijkstra,2358.9949174421663,539,new_brunswick_new_jersey_usa_drive.graphml,11,28,True,730,2,0.005675900029018521,562
astar,2358.9949174421663,99,new_brunswick_new_jersey_usa_drive.graphml,11,28,True,155,2,0.0013125999830663204,129
dijkstra,2410.0224617906424,597,new_brunswick_new_jersey_usa_drive.graphml,12,27,True,727,0,0.006582300062291324,612
astar,2410.0224617906424,139,new_brunswick_new_jersey_usa_drive.graphml,12,27,True,237,0,0.0018851999193429947,187
dijkstra,2410.0224617906424,597,new_brunswick_new_jersey_usa_drive.graphml,12,27,True,727,1,0.007487099966965616,612
astar,2410.0224617906424,139,new_brunswick_new_jersey_usa_drive.graphml,12,27,True,237,1,0.0022603999823331833,187
dijkstra,2410.0224617906424,597,new_brunswick_new_jersey_usa_drive.graphml,12,27,True,727,2,0.007104499964043498,612
astar,2410.0224617906424,139,new_brunswick_new_jersey_usa_drive.graphml,12,27,True,237,2,0.0019335999386385083,187
dijkstra,1268.133293606978,34,new_brunswick_new_jersey_usa_drive.graphml,13,9,True,46,0,0.0003040999872609973,43
astar,1268.133293606978,14,new_brunswick_new_jersey_usa_drive.graphml,13,9,True,20,0,0.00014050002209842205,21
dijkstra,1268.133293606978,34,new_brunswick_new_jersey_usa_drive.graphml,13,9,True,46,1,0.00028030003886669874,43
astar,1268.133293606978,14,new_brunswick_new_jersey_usa_drive.graphml,13,9,True,20,1,0.0001357999863103032,21
dijkstra,1268.133293606978,34,new_brunswick_new_jersey_usa_drive.graphml,13,9,True,46,2,0.0002704999642446637,43
astar,1268.133293606978,14,new_brunswick_new_jersey_usa_drive.graphml,13,9,True,20,2,0.00013569998554885387,21
dijkstra,2756.7007105643083,512,new_brunswick_new_jersey_usa_drive.graphml,14,32,True,686,0,0.004870800068601966,537
astar,2756.7007105643083,157,new_brunswick_new_jersey_usa_drive.graphml,14,32,True,224,0,0.002570499898865819,188
dijkstra,2756.7007105643083,512,new_brunswick_new_jersey_usa_drive.graphml,14,32,True,686,1,0.0066899999510496855,537
astar,2756.7007105643083,157,new_brunswick_new_jersey_usa_drive.graphml,14,32,True,224,1,0.001949800061993301,188
dijkstra,2756.7007105643083,512,new_brunswick_new_jersey_usa_drive.graphml,14,32,True,686,2,0.007116900058463216,537
astar,2756.7007105643083,157,new_brunswick_new_jersey_usa_drive.graphml,14,32,True,224,2,0.003813000046648085,188
dijkstra,827.2770218470085,125,new_brunswick_new_jersey_usa_drive.graphml,15,9,True,192,0,0.0012736000353470445,160
astar,827.2770218470085,19,new_brunswick_new_jersey_usa_drive.graphml,15,9,True,32,0,0.00024510000366717577,31
dijkstra,827.2770218470085,125,new_brunswick_new_jersey_usa_drive.graphml,15,9,True,192,1,0.0011051999172195792,160
astar,827.2770218470085,19,new_brunswick_new_jersey_usa_drive.graphml,15,9,True,32,1,0.00020109990146011114,31
dijkstra,827.2770218470085,125,new_brunswick_new_jersey_usa_drive.graphml,15,9,True,192,2,0.0012144000502303243,160
astar,827.2770218470085,19,new_brunswick_new_jersey_usa_drive.graphml,15,9,True,32,2,0.0002239999594166875,31
dijkstra,1741.493443616271,320,new_brunswick_new_jersey_usa_drive.graphml,16,18,True,441,0,0.0041105999844148755,370
