diag,dist,expanded,h,heuristic,note,p,path_len_nodes,phase,relaxed,run_id,seed,time_s,visited,w
False,238.0,9535,120,euclidean,,0.25,239,rerun_after_add,9674,3,2,0.1405932999914512,9675,120
False,238.0,9535,120,euclidean,boxed_repair,0.25,239,repair_after_add,9674,3,2,0.15546390000963584,9675,120
False,238.0,1970,120,manhattan,,0.25,239,first_astar,2582,4,2,0.021069600014016032,2415,120
False,238.0,1803,120,manhattan,,0.25,239,rerun_after_add,2384,4,2,0.021236300002783537,2238,120
False,238.0,1803,120,manhattan,boxed_repair,0.25,239,repair_after_add,2384,4,2,0.025587700016330928,2238,120
False,238.0,9551,120,euclidean,,0.25,239,first_astar,9684,4,2,0.1460122999851592,9684,120
False,238.0,9535,120,euclidean,,0.25,239,rerun_after_add,9674,4,2,0.15336330002173781,9675,120
False,238.0,9535,120,euclidean,boxed_repair,0.25,239,repair_after_add,9674,4,2,0.16991449997294694,9675,120
False,240.0,2643,120,manhattan,,0.25,241,first_astar,3401,0,3,0.031484899984207004,3093,120
False,240.0,2280,120,manhattan,,0.25,241,rerun_after_add,2941,0,3,0.02608830004464835,2707,120
False,240.0,2280,120,manhattan,boxed_repair,0.25,241,repair_after_add,2941,0,3,0.027513800014276057,2707,120
False,240.0,9582,120,euclidean,,0.25,241,first_astar,9713,0,3,0.13476480002282187,9710,120
False,240.0,9585,120,euclidean,,0.25,241,rerun_after_add,9711,0,3,0.14274169999407604,9710,120
False,240.0,9585,120,euclidean,boxed_repair,0.25,241,repair_after_add,9711,0,3,0.14176919998135418,9710,120
False,240.0,2643,120,manhattan,,0.25,241,first_astar,3401,1,3,0.02684100001351908,3093,120
False,240.0,2280,120,manhattan,,0.25,241,rerun_after_add,2941,1,3,0.022509300033561885,2707,120
False,240.0,2280,120,manhattan,boxed_repair,0.25,241,repair_after_add,2941,1,3,0.02767029998358339,2707,120
False,240.0,9582,120,euclidean,,0.25,241,first_astar,9713,1,3,0.11675909999758005,9710,120
False,240.0,9585,120,euclidean,,0.25,241,rerun_after_add,9711,1,3,0.11379829997895285,9710,120
False,240.0,9585,120,euclidean,boxed_repair,0.25,241,repair_after_add,9711,1,3,0.11899069999344647,9710,120
False,240.0,2643,120,manhattan,,0.25,241,first_astar,3401,2,3,0.024835499993059784,3093,120
False,240.0,2280,120,manhattan,,0.25,241,rerun_after_add,2941,2,3,0.02153969998471439,2707,120
False,240.0,2280,120,manhattan,boxed_repair,0.25,241,repair_after_add,2941,2,3,0.03090760001214221,2707,120
False,240.0,9582,120,euclidean,,0.25,241,first_astar,9713,2,3,0.20388420001836494,9710,120
False,240.0,9585,120,euclidean,,0.25,241,rerun_after_add,9711,2,3,0.29961499996716157,9710,120
False,240.0,9585,120,euclidean,boxed_repair,0.25,241,repair_after_add,9711,2,3,0.24995700002182275,9710,120
False,240.0,2643,120,manhattan,,0.25,241,first_astar,3401,3,3,0.04034690000116825,3093,120
False,240.0,2280,120,manhattan,,0.25,241,rerun_after_add,2941,3,3,0.029765200044494122,2707,120
False,240.0,2280,120,manhattan,boxed_repair,0.25,241,repair_after_add,2941,3,3,0.030311000009533018,2707,120
False,240.0,9582,120,euclidean,,0.25,241,first_astar,9713,3,3,0.17783249996136874,9710,120
False,240.0,9585,120,euclidean,,0.25,241,rerun_after_add,9711,3,3,0.1667192000313662,9710,120
False,240.0,9585,120,euclidean,boxed_repair,0.25,241,repair_after_add,9711,3,3,0.1377626999747008,9710,120
False,240.0,2643,120,manhattan,,0.25,241,first_astar,3401,4,3,0.03543589997570962,3093,120
False,240.0,2280,120,manhattan,,0.25,241,rerun_after_add,2941,4,3,0.02832819998729974,2707,120
False,240.0,2280,120,manhattan,boxed_repair,0.25,241,repair_after_add,2941,4,3,0.03838820004602894,2707,120
False,240.0,9582,120,euclidean,,0.25,241,first_astar,9713,4,3,0.12535240000579506,9710,120
False,240.0,9585,120,euclidean,,0.25,241,rerun_after_add,9711,4,3,0.11648149997927248,9710,120
False,240.0,9585,120,euclidean,boxed_repair,0.25,241,repair_after_add,9711,4,3,0.12966570002026856,9710,120
False,inf,1,120,manhattan,,0.25,0,first_astar,0,0,4,4.680000711232424e-05,1,120
False,inf,1,120,manhattan,,0.25,0,rerun_after_add,0,0,4,2.4300010409206152e-05,1,120
False,inf,1,120,manhattan,,0.25,0,repair_after_add,0,0,4,2.2000051103532314e-05,1,120
False,inf,1,120,euclidean,,0.25,0,first_astar,0,0,4,1.0700023267418146e-05,1,120
False,inf,1,120,euclidean,,0.25,0,rerun_after_add,0,0,4,6.89999433234334e-06,1,120
False,inf,1,120,euclidean,,0.25,0,repair_after_add,0,0,4,6.89999433234334e-06,1,120
False,inf,1,120,manhattan,,0.25,0,first_astar,0,1,4,1.6200006939470768e-05,1,120
False,inf,1,120,manhattan,,0.25,0,rerun_after_add,0,1,4,7.399998139590025e-06,1,120
False,inf,1,120,manhattan,,0.25,0,repair_after_add,0,1,4,7.099995855242014e-06,1,120
False,inf,1,120,euclidean,,0.25,0,first_astar,0,1,4,8.000002708286047e-06,1,120
False,inf,1,120,euclidean,,0.25,0,rerun_after_add,0,1,4,6.700051017105579e-06,1,120
False,inf,1,120,euclidean,,0.25,0,repair_after_add,0,1,4,6.800051778554916e-06,1,120
False,inf,1,120,manhattan,,0.25,0,first_astar,0,2,4,1.950003206729889e-05,1,120
False,inf,1,120,manhattan,,0.25,0,rerun_after_add,0,2,4,8.599949069321156e-06,1,120
False,inf,1,120,manhattan,,0.25,0,repair_after_add,0,2,4,7.800001185387373e-06,1,120
False,inf,1,120,euclidean,,0.25,0,first_astar,0,2,4,9.700015652924776e-06,1,120
False,inf,1,120,euclidean,,0.25,0,rerun_after_add,0,2,4,7.00005330145359e-06,1,120
False,inf,1,120,euclidean,,0.25,0,repair_after_add,0,2,4,7.299997378140688e-06,1,120
False,inf,1,120,manhattan,,0.25,0,first_astar,0,3,4,3.6299985367804766e-05,1,120
False,inf,1,120,manhattan,,0.25,0,rerun_after_add,0,3,4,1.0600022505968809e-05,1,120
False,inf,1,120,manhattan,,0.25,0,repair_after_add,0,3,4,8.700008038431406e-06,1,120
False,inf,1,120,euclidean,,0.25,0,first_astar,0,3,4,1.1699972674250603e-05,1,120
False,inf,1,120,euclidean,,0.25,0,rerun_after_add,0,3,4,7.199996616691351e-06,1,120
False,inf,1,120,euclidean,,0.25,0,repair_after_add,0,3,4,6.999995093792677e-06,1,120
False,inf,1,120,manhattan,,0.25,0,first_astar,0,4,4,2.7699978090822697e-05,1,120
False,inf,1,120,manhattan,,0.25,0,rerun_after_add,0,4,4,8.600007276982069e-06,1,120
False,inf,1,120,manhattan,,0.25,0,repair_after_add,0,4,4,8.600007276982069e-06,1,120
False,inf,1,120,euclidean,,0.25,0,first_astar,0,4,4,9.700015652924776e-06,1,120
False,inf,1,120,euclidean,,0.25,0,rerun_after_add,0,4,4,6.799993570894003e-06,1,120
False,inf,1,120,euclidean,,0.25,0,repair_after_add,0,4,4,6.699992809444666e-06,1,120
False,238.0,1656,120,manhattan,,0.25,239,first_astar,2188,0,5,0.023629900009837,2067,120
False,238.0,1985,120,manhattan,,0.25,239,rerun_after_add,2537,0,5,0.03107250004541129,2359,120
False,238.0,1985,120,manhattan,boxed_repair,0.25,239,repair_after_add,2537,0,5,0.04768429999239743,2359,120
False,238.0,9712,120,euclidean,,0.25,239,first_astar,9852,0,5,0.14750379999168217,9853,120
False,238.0,9708,120,euclidean,,0.25,239,rerun_after_add,9853,0,5,0.16024349996587262,9854,120
False,238.0,9708,120,euclidean,boxed_repair,0.25,239,repair_after_add,9853,0,5,0.1858252999954857,9854,120
False,238.0,1656,120,manhattan,,0.25,239,first_astar,2188,1,5,0.02075129997683689,2067,120
False,238.0,1985,120,manhattan,,0.25,239,rerun_after_add,2537,1,5,0.02479490003315732,2359,120
False,238.0,1985,120,manhattan,boxed_repair,0.25,239,repair_after_add,2537,1,5,0.027767200022935867,2359,120
False,238.0,9712,120,euclidean,,0.25,239,first_astar,9852,1,5,0.16926530003547668,9853,120
